GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0800000US530339292863000001000,530339292863000001000,"Census Tract 10, Seattle city, Seattle CCD, King County, Washington",1895,199
0800000US530339292863000001100,530339292863000001100,"Census Tract 11, Seattle city, Seattle CCD, King County, Washington",2406,195
0800000US530339292863000001200,530339292863000001200,"Census Tract 12, Seattle city, Seattle CCD, King County, Washington",5815,465
0800000US530339292863000001300,530339292863000001300,"Census Tract 13, Seattle city, Seattle CCD, King County, Washington",4501,386
0800000US530339292863000001400,530339292863000001400,"Census Tract 14, Seattle city, Seattle CCD, King County, Washington",4966,387
0800000US530339292863000001500,530339292863000001500,"Census Tract 15, Seattle city, Seattle CCD, King County, Washington",2543,114
0800000US530339292863000001600,530339292863000001600,"Census Tract 16, Seattle city, Seattle CCD, King County, Washington",4010,262
0800000US530339292863000001701,530339292863000001701,"Census Tract 17.01, Seattle city, Seattle CCD, King County, Washington",3815,267
0800000US530339292863000001702,530339292863000001702,"Census Tract 17.02, Seattle city, Seattle CCD, King County, Washington",4337,538
0800000US530339292863000001800,530339292863000001800,"Census Tract 18, Seattle city, Seattle CCD, King County, Washington",4504,323
0800000US530339292863000001900,530339292863000001900,"Census Tract 19, Seattle city, Seattle CCD, King County, Washington",4133,328
0800000US530339292863000002000,530339292863000002000,"Census Tract 20, Seattle city, Seattle CCD, King County, Washington",3354,178
0800000US530339292863000002100,530339292863000002100,"Census Tract 21, Seattle city, Seattle CCD, King County, Washington",3913,270
0800000US530339292863000002200,530339292863000002200,"Census Tract 22, Seattle city, Seattle CCD, King County, Washington",5321,274
0800000US530339292863000002400,530339292863000002400,"Census Tract 24, Seattle city, Seattle CCD, King County, Washington",2805,192
0800000US530339292863000002500,530339292863000002500,"Census Tract 25, Seattle city, Seattle CCD, King County, Washington",2886,199
0800000US530339292863000002600,530339292863000002600,"Census Tract 26, Seattle city, Seattle CCD, King County, Washington",4682,260
0800000US530339292863000002700,530339292863000002700,"Census Tract 27, Seattle city, Seattle CCD, King County, Washington",4850,390
0800000US530339292863000002800,530339292863000002800,"Census Tract 28, Seattle city, Seattle CCD, King County, Washington",4205,316
0800000US530339292863000002900,530339292863000002900,"Census Tract 29, Seattle city, Seattle CCD, King County, Washington",4107,255
0800000US530339292863000003000,530339292863000003000,"Census Tract 30, Seattle city, Seattle CCD, King County, Washington",5523,331
0800000US530339292863000003100,530339292863000003100,"Census Tract 31, Seattle city, Seattle CCD, King County, Washington",6283,400
0800000US530339292863000003200,530339292863000003200,"Census Tract 32, Seattle city, Seattle CCD, King County, Washington",7693,440
0800000US530339292863000003300,530339292863000003300,"Census Tract 33, Seattle city, Seattle CCD, King County, Washington",6279,294
0800000US530339292863000003400,530339292863000003400,"Census Tract 34, Seattle city, Seattle CCD, King County, Washington",3444,255
0800000US530339292863000003500,530339292863000003500,"Census Tract 35, Seattle city, Seattle CCD, King County, Washington",3808,262
0800000US530339292863000003600,530339292863000003600,"Census Tract 36, Seattle city, Seattle CCD, King County, Washington",5757,435
0800000US530339292863000003800,530339292863000003800,"Census Tract 38, Seattle city, Seattle CCD, King County, Washington",2115,193
0800000US530339292863000003900,530339292863000003900,"Census Tract 39, Seattle city, Seattle CCD, King County, Washington",2967,178
0800000US530339292863000004000,530339292863000004000,"Census Tract 40, Seattle city, Seattle CCD, King County, Washington",2915,293
0800000US530339292863000004100,530339292863000004100,"Census Tract 41, Seattle city, Seattle CCD, King County, Washington",7894,449
0800000US530339292863000004200,530339292863000004200,"Census Tract 42, Seattle city, Seattle CCD, King County, Washington",7905,444
0800000US530339292863000004301,530339292863000004301,"Census Tract 43.01, Seattle city, Seattle CCD, King County, Washington",3638,363
0800000US530339292863000004302,530339292863000004302,"Census Tract 43.02, Seattle city, Seattle CCD, King County, Washington",3402,470
0800000US530339292863000004400,530339292863000004400,"Census Tract 44, Seattle city, Seattle CCD, King County, Washington",6668,1050
0800000US530339292863000004500,530339292863000004500,"Census Tract 45, Seattle city, Seattle CCD, King County, Washington",2676,281
0800000US530339292863000004600,530339292863000004600,"Census Tract 46, Seattle city, Seattle CCD, King County, Washington",3213,193
0800000US530339292863000004700,530339292863000004700,"Census Tract 47, Seattle city, Seattle CCD, King County, Washington",7173,508
0800000US530339292863000004800,530339292863000004800,"Census Tract 48, Seattle city, Seattle CCD, King County, Washington",4671,323
0800000US530339292863000004900,530339292863000004900,"Census Tract 49, Seattle city, Seattle CCD, King County, Washington",6260,324
0800000US530339292863000005000,530339292863000005000,"Census Tract 50, Seattle city, Seattle CCD, King County, Washington",3674,278
0800000US530339292863000005100,530339292863000005100,"Census Tract 51, Seattle city, Seattle CCD, King County, Washington",3692,254
0800000US530339292863000005200,530339292863000005200,"Census Tract 52, Seattle city, Seattle CCD, King County, Washington",6343,770
0800000US530339292863000005301,530339292863000005301,"Census Tract 53.01, Seattle city, Seattle CCD, King County, Washington",6851,677
0800000US530339292863000005302,530339292863000005302,"Census Tract 53.02, Seattle city, Seattle CCD, King County, Washington",5891,594
0800000US530339292863000005400,530339292863000005400,"Census Tract 54, Seattle city, Seattle CCD, King County, Washington",4567,284
0800000US530339292863000005600,530339292863000005600,"Census Tract 56, Seattle city, Seattle CCD, King County, Washington",6338,357
0800000US530339292863000005700,530339292863000005700,"Census Tract 57, Seattle city, Seattle CCD, King County, Washington",6252,542
0800000US530339292863000005801,530339292863000005801,"Census Tract 58.01, Seattle city, Seattle CCD, King County, Washington",5204,411
0800000US530339292863000005802,530339292863000005802,"Census Tract 58.02, Seattle city, Seattle CCD, King County, Washington",4818,323
0800000US530339292863000005900,530339292863000005900,"Census Tract 59, Seattle city, Seattle CCD, King County, Washington",7735,573
0800000US530339292863000006000,530339292863000006000,"Census Tract 60, Seattle city, Seattle CCD, King County, Washington",5191,377
0800000US530339292863000006100,530339292863000006100,"Census Tract 61, Seattle city, Seattle CCD, King County, Washington",5411,393
0800000US530339292863000006200,530339292863000006200,"Census Tract 62, Seattle city, Seattle CCD, King County, Washington",3988,253
0800000US530339292863000006300,530339292863000006300,"Census Tract 63, Seattle city, Seattle CCD, King County, Washington",5108,379
0800000US530339292863000006400,530339292863000006400,"Census Tract 64, Seattle city, Seattle CCD, King County, Washington",3429,253
0800000US530339292863000006500,530339292863000006500,"Census Tract 65, Seattle city, Seattle CCD, King County, Washington",3918,239
0800000US530339292863000006600,530339292863000006600,"Census Tract 66, Seattle city, Seattle CCD, King County, Washington",2968,376
0800000US530339292863000006700,530339292863000006700,"Census Tract 67, Seattle city, Seattle CCD, King County, Washington",6557,500
0800000US530339292863000006800,530339292863000006800,"Census Tract 68, Seattle city, Seattle CCD, King County, Washington",2889,249
0800000US530339292863000006900,530339292863000006900,"Census Tract 69, Seattle city, Seattle CCD, King County, Washington",4314,404
0800000US530339292863000007000,530339292863000007000,"Census Tract 70, Seattle city, Seattle CCD, King County, Washington",7459,542
0800000US530339292863000007100,530339292863000007100,"Census Tract 71, Seattle city, Seattle CCD, King County, Washington",2920,187
0800000US530339292863000007200,530339292863000007200,"Census Tract 72, Seattle city, Seattle CCD, King County, Washington",4876,507
0800000US530339292863000007300,530339292863000007300,"Census Tract 73, Seattle city, Seattle CCD, King County, Washington",4577,506
0800000US530339292863000007401,530339292863000007401,"Census Tract 74.01, Seattle city, Seattle CCD, King County, Washington",4131,287
0800000US530339292863000007402,530339292863000007402,"Census Tract 74.02, Seattle city, Seattle CCD, King County, Washington",5143,381
0800000US530339292863000007500,530339292863000007500,"Census Tract 75, Seattle city, Seattle CCD, King County, Washington",6856,518
0800000US530339292863000007600,530339292863000007600,"Census Tract 76, Seattle city, Seattle CCD, King County, Washington",3892,267
0800000US530339292863000007700,530339292863000007700,"Census Tract 77, Seattle city, Seattle CCD, King County, Washington",4373,336
0800000US530339292863000007800,530339292863000007800,"Census Tract 78, Seattle city, Seattle CCD, King County, Washington",5138,278
0800000US530339292863000007900,530339292863000007900,"Census Tract 79, Seattle city, Seattle CCD, King County, Washington",4953,333
0800000US530339292863000008001,530339292863000008001,"Census Tract 80.01, Seattle city, Seattle CCD, King County, Washington",5390,521
0800000US530339292863000008002,530339292863000008002,"Census Tract 80.02, Seattle city, Seattle CCD, King County, Washington",2876,254
0800000US530339292863000008100,530339292863000008100,"Census Tract 81, Seattle city, Seattle CCD, King County, Washington",3887,428
0800000US530339292863000008200,530339292863000008200,"Census Tract 82, Seattle city, Seattle CCD, King County, Washington",3395,363
0800000US530339292863000008300,530339292863000008300,"Census Tract 83, Seattle city, Seattle CCD, King County, Washington",2607,260
0800000US530339292863000008400,530339292863000008400,"Census Tract 84, Seattle city, Seattle CCD, King County, Washington",4107,315
0800000US530339292863000008500,530339292863000008500,"Census Tract 85, Seattle city, Seattle CCD, King County, Washington",3913,306
0800000US530339292863000008600,530339292863000008600,"Census Tract 86, Seattle city, Seattle CCD, King County, Washington",4810,519
0800000US530339292863000008700,530339292863000008700,"Census Tract 87, Seattle city, Seattle CCD, King County, Washington",3831,518
0800000US530339292863000008800,530339292863000008800,"Census Tract 88, Seattle city, Seattle CCD, King County, Washington",3568,345
0800000US530339292863000008900,530339292863000008900,"Census Tract 89, Seattle city, Seattle CCD, King County, Washington",4971,465
0800000US530339292863000009000,530339292863000009000,"Census Tract 90, Seattle city, Seattle CCD, King County, Washington",2864,281
0800000US530339292863000009100,530339292863000009100,"Census Tract 91, Seattle city, Seattle CCD, King County, Washington",2744,521
0800000US530339292863000009200,530339292863000009200,"Census Tract 92, Seattle city, Seattle CCD, King County, Washington",2514,222
0800000US530339292863000009300,530339292863000009300,"Census Tract 93, Seattle city, Seattle CCD, King County, Washington",2381,378
0800000US530339292863000009400,530339292863000009400,"Census Tract 94, Seattle city, Seattle CCD, King County, Washington",5589,462
0800000US530339292863000009500,530339292863000009500,"Census Tract 95, Seattle city, Seattle CCD, King County, Washington",5485,466
0800000US530339292863000009600,530339292863000009600,"Census Tract 96, Seattle city, Seattle CCD, King County, Washington",5597,420
0800000US530339292863000009701,530339292863000009701,"Census Tract 97.01, Seattle city, Seattle CCD, King County, Washington",5632,384
0800000US530339292863000009702,530339292863000009702,"Census Tract 97.02, Seattle city, Seattle CCD, King County, Washington",5144,285
0800000US530339292863000009800,530339292863000009800,"Census Tract 98, Seattle city, Seattle CCD, King County, Washington",6479,346
0800000US530339292863000009900,530339292863000009900,"Census Tract 99, Seattle city, Seattle CCD, King County, Washington",4760,357
0800000US530339292863000010001,530339292863000010001,"Census Tract 100.01, Seattle city, Seattle CCD, King County, Washington",4500,413
0800000US530339292863000010002,530339292863000010002,"Census Tract 100.02, Seattle city, Seattle CCD, King County, Washington",4165,387
0800000US530339292863000010100,530339292863000010100,"Census Tract 101, Seattle city, Seattle CCD, King County, Washington",6077,527
0800000US530339292863000010200,530339292863000010200,"Census Tract 102, Seattle city, Seattle CCD, King County, Washington",4637,218
0800000US530339292863000010300,530339292863000010300,"Census Tract 103, Seattle city, Seattle CCD, King County, Washington",5844,501
0800000US530339292863000010401,530339292863000010401,"Census Tract 104.01, Seattle city, Seattle CCD, King County, Washington",4674,532
0800000US530339292863000010402,530339292863000010402,"Census Tract 104.02, Seattle city, Seattle CCD, King County, Washington",4683,460
0800000US530339292863000010500,530339292863000010500,"Census Tract 105, Seattle city, Seattle CCD, King County, Washington",6453,464
0800000US530339292863000010600,530339292863000010600,"Census Tract 106, Seattle city, Seattle CCD, King County, Washington",7492,491
0800000US530339292863000010701,530339292863000010701,"Census Tract 107.01, Seattle city, Seattle CCD, King County, Washington",2918,344
0800000US530339292863000010702,530339292863000010702,"Census Tract 107.02, Seattle city, Seattle CCD, King County, Washington",3571,251
0800000US530339292863000010800,530339292863000010800,"Census Tract 108, Seattle city, Seattle CCD, King County, Washington",4691,295
0800000US530339292863000010900,530339292863000010900,"Census Tract 109, Seattle city, Seattle CCD, King County, Washington",1184,151
0800000US530339292863000011001,530339292863000011001,"Census Tract 110.01, Seattle city, Seattle CCD, King County, Washington",4678,619
0800000US530339292863000011002,530339292863000011002,"Census Tract 110.02, Seattle city, Seattle CCD, King County, Washington",4049,358
0800000US530339292863000011101,530339292863000011101,"Census Tract 111.01, Seattle city, Seattle CCD, King County, Washington",4613,463
0800000US530339292863000011102,530339292863000011102,"Census Tract 111.02, Seattle city, Seattle CCD, King County, Washington",4153,538
0800000US530339292863000011200,530339292863000011200,"Census Tract 112 (part), Seattle city, Seattle CCD, King County, Washington",4402,608
0800000US530339292863000011300,530339292863000011300,"Census Tract 113, Seattle city, Seattle CCD, King County, Washington",5743,453
0800000US530339292863000011401,530339292863000011401,"Census Tract 114.01, Seattle city, Seattle CCD, King County, Washington",3950,469
0800000US530339292863000011402,530339292863000011402,"Census Tract 114.02, Seattle city, Seattle CCD, King County, Washington",4402,466
0800000US530339292863000011500,530339292863000011500,"Census Tract 115, Seattle city, Seattle CCD, King County, Washington",4203,245
0800000US530339292863000011600,530339292863000011600,"Census Tract 116, Seattle city, Seattle CCD, King County, Washington",6283,322
0800000US530339292863000011700,530339292863000011700,"Census Tract 117, Seattle city, Seattle CCD, King County, Washington",6877,1058
0800000US530339292863000011800,530339292863000011800,"Census Tract 118, Seattle city, Seattle CCD, King County, Washington",7495,712
0800000US530339292863000011900,530339292863000011900,"Census Tract 119, Seattle city, Seattle CCD, King County, Washington",7627,671
0800000US530339292863000012000,530339292863000012000,"Census Tract 120, Seattle city, Seattle CCD, King County, Washington",3459,250
0800000US530339292863000012100,530339292863000012100,"Census Tract 121, Seattle city, Seattle CCD, King County, Washington",2795,164
0800000US530339292863000026001,530339292863000026001,"Census Tract 260.01 (part), Seattle city, Seattle CCD, King County, Washington",41,53
0800000US530339292863000026400,530339292863000026400,"Census Tract 264 (part), Seattle city, Seattle CCD, King County, Washington",0,12
0800000US530339292863000026500,530339292863000026500,"Census Tract 265 (part), Seattle city, Seattle CCD, King County, Washington",93,85
0800000US530339292863000990100,530339292863000990100,"Census Tract 9901 (part), Seattle city, Seattle CCD, King County, Washington",0,12
0800000US530339292863960020100,530339292863960020100,"Census Tract 201 (part), Shoreline city, Seattle CCD, King County, Washington",3241,208
0800000US530339292863960020200,530339292863960020200,"Census Tract 202, Shoreline city, Seattle CCD, King County, Washington",5899,409
0800000US530339292863960020300,530339292863960020300,"Census Tract 203, Shoreline city, Seattle CCD, King County, Washington",6032,443
0800000US530339292863960020401,530339292863960020401,"Census Tract 204.01 (part), Shoreline city, Seattle CCD, King County, Washington",3292,315
0800000US530339292863960020402,530339292863960020402,"Census Tract 204.02 (part), Shoreline city, Seattle CCD, King County, Washington",1789,342
0800000US530339292863960020500,530339292863960020500,"Census Tract 205, Shoreline city, Seattle CCD, King County, Washington",6056,247
0800000US530339292863960020600,530339292863960020600,"Census Tract 206, Shoreline city, Seattle CCD, King County, Washington",3705,329
0800000US530339292863960020700,530339292863960020700,"Census Tract 207, Shoreline city, Seattle CCD, King County, Washington",3734,398
0800000US530339292863960020800,530339292863960020800,"Census Tract 208 (part), Shoreline city, Seattle CCD, King County, Washington",4001,215
0800000US530339292863960020900,530339292863960020900,"Census Tract 209 (part), Shoreline city, Seattle CCD, King County, Washington",3422,239
0800000US530339292863960021000,530339292863960021000,"Census Tract 210, Shoreline city, Seattle CCD, King County, Washington",5781,350
0800000US530339292863960021100,530339292863960021100,"Census Tract 211, Shoreline city, Seattle CCD, King County, Washington",4155,273
0800000US530339292863960021300,530339292863960021300,"Census Tract 213 (part), Shoreline city, Seattle CCD, King County, Washington",1647,310
0800000US530339292863960021400,530339292863960021400,"Census Tract 214 (part), Shoreline city, Seattle CCD, King County, Washington",528,232
0800000US530339292872625026100,530339292872625026100,"Census Tract 261 (part), Tukwila city, Seattle CCD, King County, Washington",0,12
0800000US530339292872625026200,530339292872625026200,"Census Tract 262 (part), Tukwila city, Seattle CCD, King County, Washington",5585,427
0800000US530339292872625026300,530339292872625026300,"Census Tract 263 (part), Tukwila city, Seattle CCD, King County, Washington",1286,148
